,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,load_centrality
COBB,0.16578349735049205,4.7182466662784595e-29,1.5331115034636587e+97,0.000717442753837155,0.0007375275241192483
COBK,0.10673732021196064,4.7182466662784595e-29,1.2450794592729012e+102,0.0007555401946371181,1.1869508697226411e-05
COBN,0.30507191521574567,4.7182466662784595e-29,8.764095064330565e+96,0.000603716580731131,0.0007851702596732522
COB5,0.001514004542013626,4.7182466662784595e-29,0.0,0.00011952077187609854,1.1324555641098161e-07
COBG,0.336109008327025,4.7182466662784595e-29,1.65987534196167e+100,0.0007647941314712052,5.4311809340345816e-05
COBH,0.001514004542013626,4.7182466662784595e-29,0.0,0.0001313795087475395,1.6192367142199559e-07
COBT,0.1688115064345193,4.7182466662784595e-29,0.0014506342761452526,0.00039746037317526313,0.001486642630236395
THRK,0.02271006813020439,4.7182466662784595e-29,2500941365.285064,0.0003331600114272505,0.0007358694687286004
COBC,0.008327024981074942,4.7182466662784595e-29,0.0,0.0001362985505579439,3.6408439155085998e-06
AMIK,0.02195306585919758,4.7182466662784595e-29,5.031877427022902e+58,0.0003126068050635847,5.8785147853272735e-06
COBD,0.03406510219530658,4.7182466662784595e-29,1.0151385509108806e+57,0.0003821079314083692,1.3517560034183561e-05
COBU,0.004542013626040878,4.7182466662784595e-29,1.0896297855312128e-05,0.0001595563781500051,4.241651010043863e-05
COBCII,0.1271763815291446,4.7182466662784595e-29,1.4945591126954173e+86,0.00039462146028594456,7.211940169997605e-06
CSD,0.13474640423921272,4.7182466662784595e-29,1.983949056071702e+76,0.0004425955021593298,0.005000952370706391
ISCS,0.012869038607115822,4.7182466662784595e-29,962210.3486923565,0.00020121318588046786,1.666192092111216e-05
METB4,0.00984102952308857,4.7182466662784595e-29,0.43338704425046987,0.0001742690188791848,1.8506238458414204e-06
METB1,0.12566237698713095,4.7182466662784595e-29,2.6523024226613743e+64,0.0003977929041249383,7.095039721152256e-06
METB2,0.35957607872823616,4.7182466662784595e-29,3.0774838486053265e+104,0.0011325914504058887,5.4547193537153614e-05
METB3,0.008327024981074942,4.7182466662784595e-29,2.9095161675940525e+17,0.00017917680518441314,1.4992596684225638e-06
SAHH,0.13853141559424678,4.7182466662784595e-29,8.963334301313014e+105,0.017736177046714065,0.015013348911815591
CYGLY2,0.12566237698713095,4.7182466662784595e-29,6.687741706474082e+85,0.00040941338427407715,1.8999822950107493e-05
CYSK1,0.01514004542013626,4.7182466662784595e-29,0.0021345229258021843,0.0001459945269378603,0.0021482571138460816
MMUM,0.012112036336109008,4.7182466662784595e-29,4.808866812992744e+96,0.003010927279638435,3.0375657715063897e-06
MTN1,0.0,0.0,0.0,0.0001174186253561024,0.0
5OPRO,0.012112036336109008,4.7182466662784595e-29,1.6066565813398716e-08,0.00014016101078681242,1.265905821978444e-05
OHSER,0.0696442089326268,4.7182466662784595e-29,5.386189450016981e-06,0.0003925605136629362,2.1263388357931554e-05
CYCLY1,0.13550340651021953,4.7182466662784595e-29,6.687741706781476e+85,0.0005447901406890914,1.6393044718517647e-05
METX,0.09235427706283118,4.7182466662784595e-29,1.643410549018856e+21,0.0008835729640136932,2.138158638423013e-05
CYSE,0.09386828160484481,4.7182466662784595e-29,4.2106657661288796e+24,0.000917909357798383,4.46197481966933e-05
MTN2,0.0,0.0,0.0,0.0001174186253561024,0.0
HCYS,0.13247539742619227,4.7182466662784595e-29,3.0943254401553835e+64,0.00044558562883181206,1.910398860695348e-05
METE,0.0174110522331567,4.7182466662784595e-29,1.923546725256003e+97,0.002709907868196905,0.0020416083214917584
METC,0.00757002271006813,4.7182466662784595e-29,1.1816854820955808e-08,0.00014554783949122257,9.689787936337783e-06
METH,0.03028009084027252,4.7182466662784595e-29,1.9958290587013994e+97,0.003156713131447637,0.020611328854838438
METK,0.16654049962149886,4.7182466662784595e-29,2.7925249946016427e+92,0.001330684318945862,0.018694575883468442
MTHF1,0.059046177138531414,4.7182466662784595e-29,18144587.428849008,0.001008935535247162,0.005637316952072505
PNP,0.13701741105223317,4.7182466662784595e-29,1.0934894024969874e+69,0.00569852194101718,3.0898627511791288e-06
METZ,0.009084027252081756,4.7182466662784595e-29,0.032306953137225904,0.00014064005318599422,1.0041152113756638e-05
MSRA,0.0,0.0,0.0,0.0001174186253561024,0.0
PPSB1,0.19303557910673733,4.7182466662784595e-29,3.094589006977521e+93,0.0007271699065714823,2.5989440315889406e-05
PPSB3,0.19379258137774413,4.7182466662784595e-29,3.094589006977521e+93,0.0007529462897469497,2.5989440315889406e-05
PPSB2,0.19303557910673733,4.7182466662784595e-29,3.094589006977521e+93,0.0007271702865229123,2.5989440315889406e-05
HBA,0.012112036336109008,4.7182466662784595e-29,0.0007151377514738605,0.00012294145778432117,0.0007294211356049055
FADD268,0.04996214988644966,4.7182466662784595e-29,1.656678488843129e+33,0.000822497964838087,4.762990808840072e-06
FADD261,0.013626040878122634,4.7182466662784595e-29,1.2042234170934175e+54,0.00030826833266679943,1.2985942746743902e-06
FADD267,0.04996214988644966,4.7182466662784595e-29,3.313356977686258e+33,0.0007839537733799601,4.752163518697362e-06
FADD266,0.016654049962149885,4.7182466662784595e-29,2.0320496135152963e+90,0.0004933506525670255,2.5078000271649374e-06
FADD265,0.013626040878122634,4.7182466662784595e-29,0.9633396806984673,0.00031222763637364816,1.3608268892758267e-06
