,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,information_centrality,load_centrality
FADE323,0.47557251908396947,0.6316297010607522,0.002035052206151488,0.0014396452891445371,0.04513119208469914,0.0063216418326240914,0.0020285787138322846
INHA15,0.23740458015267174,0.5288655631812677,1.5223183538952958e-05,0.0007520123933032019,0.020265643225549856,0.0062378803585808225,1.5164306864461791e-05
FAMPL5,0.47557251908396947,0.6316297010607522,0.0020339016918376135,0.0014395167104589604,0.0451312766984595,0.00632164173742832,0.0020274717858649346
MOBDabc_rev,0.4389312977099237,0.6161806208842897,0.0011541791701858812,0.0013301518966726998,0.044973003882981026,0.006314568558822738,0.0011426880814627426
MOBDabc,0.4389312977099237,0.6161806208842897,0.0011541791701858812,0.0013301518966726998,0.044973003882981026,0.006314568558822702,0.0011426880814627426
INHA11,0.23740458015267174,0.5288655631812677,1.5223183538952958e-05,0.0007520123933032019,0.020265643225549856,0.006237880358581026,1.5164306864461791e-05
BKDC2,0.1412213740458015,0.4902694610778443,1.5805928485192003e-05,0.000508794488521278,0.012241196444191584,0.0061279984455360394,1.7025183223589082e-05
MCITD,0.3251908396946565,0.5718027062418158,0.0,0.0009498391569559317,0.03834671685651433,0.0062828988292195145,0.0
BKDC1,0.1412213740458015,0.4902694610778443,1.585296315833978e-05,0.0005087864972558051,0.012241354757424133,0.0061279985180209785,1.7063697572248665e-05
CBPS,0.4564885496183206,0.6235126130414088,0.0010839365490480394,0.0013738713566202715,0.04523021311079648,0.006318093686545622,0.0010600058789948818
HSERTA,0.14580152671755725,0.49174174174174173,0.00011863085777542218,0.0005304289904708885,0.012465579910251282,0.006136327048328679,0.00012355834112574802
SEPHCHCS,0.12595419847328243,0.4817947774917249,0.0007561035706160017,0.000557139761365512,0.007255576028193265,0.006094395133631166,0.0007190426481126725
FCOAH2,0.4083969465648855,0.6011932078935291,0.0013880254020545437,0.0012376283693125124,0.04239662295116373,0.0063078308331235376,0.0014696310115779696
GLYCLTt,0.0022900763358778627,0.3919808497905446,0.0015267175572519086,0.00029517611867404257,0.00010125005728831397,0.0012184921961307003,0.0015267175572519095
TRESULT,0.006870229007633588,0.3929214157168566,5.028272426662461e-06,0.00016893361861521923,0.0004251229321925898,0.003250538670938743,1.2417865392248953e-05
GLYALDDr,0.4816793893129771,0.6371595330739299,0.0012991769027321867,0.0013966938561819256,0.047570589159209545,0.006322693477486298,0.0012606632895889184
CTFPP,0.0030534351145038168,0.3732193732193732,0.0,0.00012577662858007425,0.0001225771204768515,0.0020583868502135586,0.0
HOA,0.12595419847328243,0.4830383480825959,0.00032262272974668485,0.0005424834791378511,0.00734392115355049,0.006094614094980148,0.00035930400140213195
FRUpts2,0.031297709923664124,0.44572984008166044,0.0009535686366806378,0.00037742647315211275,0.0011940170190200044,0.005284822497472585,0.0009868878110404352
GK1,0.2083969465648855,0.5258932155760738,0.0009786228200353137,0.0007913198558294768,0.018038276276616062,0.00621482206295164,0.0010168168333269411
ILEabc,0.4396946564885496,0.6164705882352941,0.0011856079230112178,0.0013341729969085087,0.04497905710088447,0.006314727995440187,0.0011733437512980698
ILEabc_rev,0.4396946564885496,0.6164705882352941,0.0011856079230112178,0.0013341729969085087,0.04497905710088447,0.006314727995440351,0.0011733437512980698
CHOLCOA,0.029770992366412213,0.44572984008166044,8.628847639368826e-07,0.0002188518946208088,0.0029540083014267834,0.005264391197242435,8.722792878148189e-07
THRabc_rev,0.4404580152671756,0.6167608286252354,0.0012078903056765415,0.0013366075766604332,0.04502127626299119,0.006314885362623372,0.0011959463290867303
DGK1,0.18931297709923664,0.5202541699761716,2.9411666018909548e-06,0.0006324506265376643,0.017636743437760654,0.006196600301929569,2.9824314029168905e-06
THRabc,0.4404580152671756,0.6167608286252354,0.0012078903056765415,0.0013366075766604332,0.04502127626299119,0.006314885362623427,0.0011959463290867303
ZNabc,0.4389312977099237,0.6161806208842897,0.0011541791701858812,0.0013301518966726998,0.044973003882981026,0.006314568558822865,0.0011426880814627426
ZNabc_rev,0.4389312977099237,0.6161806208842897,0.0011541791701858812,0.0013301518966726998,0.044973003882981026,0.006314568558823055,0.0011426880814627426
TMDS3,0.24427480916030533,0.5310093230644507,0.00037532911913089854,0.00080077736117169,0.02043623988660493,0.006242452922659445,0.00037579993582302325
RBK,0.1916030534351145,0.5221203666799522,0.0004153525716152389,0.0006766925262613754,0.01763333189865827,0.006198912678321481,0.0004289102727133077
HADA8,0.3267175572519084,0.5723023154215815,8.161185518970895e-06,0.00095394943293014,0.038429559480407334,0.006283469146489282,8.078225889926049e-06
GLNS,0.2763358778625954,0.5543800253914516,0.0008640398904297519,0.0009315590663346631,0.023828866357456045,0.006261302106668499,0.0008823081812757252
CAt4,0.23206106870229007,0.5217045001991238,0.0015752421270870487,0.000836918147550649,0.019592277074350198,0.006233758348319454,0.0015710380227305504
