,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,load_centrality
LPPGS,0.0053435114503816794,8.549790248262208e-30,0.00029611848673167726,0.0003996697344468608,0.00032452953422868104
ADSL2r,0.0061068702290076335,8.473452835331306e-30,2.009010691538998e-06,0.00018559329865710183,7.265888416534412e-05
ADSL1r,0.006870229007633588,8.473452835331306e-30,0.0,0.0001556184330915129,2.6140293273045535e-05
ETHA,0.0,0.0,0.0,0.00013375100571644895,0.0
ACHBS,0.022900763358778626,8.473452835331306e-30,6.316220213353191e+91,0.00047452723218485693,0.0006551573444855016
COCO2,0.3946564885496183,8.473452835331306e-30,6.315031426330981e+93,0.0020710721458936866,0.001456184288116006
MOAE1,0.0053435114503816794,8.473452835331306e-30,5.863623037300336e-10,0.0003191682201570858,5.260345676245438e-06
MYCO2,0.21755725190839695,8.473452835331306e-30,2.090358587760062e+42,0.0019407966953555742,0.00020501400102572977
CPPPGO,0.21755725190839695,8.473452835331306e-30,5.448502874312123e+63,0.000184753787889221,0.00017129366653708243
CPPPGO2,0.016793893129770993,8.473452835331306e-30,6.758756408081781e+16,0.00018464980383587444,6.685697479795486e-05
SALSYN,0.012213740458015267,8.473452835331306e-30,0.0,0.0001935175478483808,4.713871050412465e-05
LYSabc_rev,0.14580152671755725,8.473452835331306e-30,7.601497961063595e+66,0.0007336129741400577,0.0006784114789385971
GLUR,0.01984732824427481,8.473452835331306e-30,16743619942447.018,0.00047353646220966105,3.7009953839607523e-06
CYP1,0.3229007633587786,8.549790248262208e-30,0.0,0.0008166962610300379,0.0
IGPS,0.2152671755725191,8.473452835331306e-30,0.0007126237031939771,0.0003973852419646172,0.000896751780648625
TDPDRE,0.0022900763358778627,8.473452835331306e-30,1.1663235731488987e-06,0.00013458248639849403,1.6572232563175487e-06
FOLt,0.003816793893129771,8.488658669573397e-30,0.0006508085538170854,0.000175847251714185,0.0006508085538170854
5OPRO,0.011450381679389313,8.473452835331306e-30,1.7494853597371978e-06,0.00015644403453844298,6.0966466477008956e-05
DHPS2,0.004580152671755725,8.473452835331306e-30,0.0,0.0002884392403328278,5.266189311682452e-06
TREpts,0.012977099236641221,8.549790248262208e-30,0.0,0.0005033327221853202,0.0
RNDR1,0.3366412213740458,8.473452835331306e-30,2.674907453764891e+85,0.00480139412340975,0.00015693357377030112
BiomassGrowth,0.3900763358778626,8.473452835331306e-30,1.7145966022134173e+116,0.009336616377432383,0.02182169765921799
HSST,0.0648854961832061,8.473452835331306e-30,11262996842.134106,0.00024914004686128657,8.25786597035313e-05
BO9,0.3847328244274809,8.473452835331306e-30,1.2605022173398992e+117,0.0018878378655159255,0.0002267677156119748
BO8,0.3847328244274809,8.473452835331306e-30,2.5210044346797984e+117,0.0018878572036739672,0.00022675734835546745
PROP,0.3465648854961832,8.473452835331306e-30,1.5915676558276843e+82,0.005600768301495007,0.00016004322787620617
L2AADPt,0.0015267175572519084,8.488658669573397e-30,0.0006508085538170854,0.00013814089686459157,0.0006508085538170854
CYCLY1,0.0,0.0,0.0,0.00013375100571644895,0.0
NTRIRx,0.32137404580152673,8.473452835331306e-30,1.0089379685687079e+72,0.0007394710408552233,0.0008176201945505568
BO1,0.3877862595419847,8.473452835331306e-30,1.1344519956171225e+118,0.0017782772137652572,0.00023804300846513857
R05219,0.11603053435114503,8.549790248262208e-30,0.0,0.0005758611783284107,0.0
BO3,0.38625954198473283,8.473452835331306e-30,8.823515521466508e+117,0.0019455125744082139,0.00023037755108000455
BO2,0.3885496183206107,8.473452835331306e-30,1.0084017738818867e+118,0.001924906022436433,0.0002404618690986268
BO5,0.3885496183206107,8.473452835331306e-30,6.302511086761791e+117,0.001945938838093769,0.0002407660708683924
BO4,0.3885496183206107,8.473452835331306e-30,7.563013304114149e+117,0.0020334704407121464,0.00024392751280629673
BO7,0.38549618320610685,8.473452835331306e-30,3.7815066520570745e+117,0.0018926632565739326,0.00022711789147746128
BO6,0.39083969465648855,8.473452835331306e-30,5.0420088694094327e+117,0.0018918837861340685,0.001473203635145664
FADD281,0.017557251908396947,8.473452835331306e-30,5.888873680390325e+25,0.00044416307802261313,4.859777593963617e-06
FADD283,0.051908396946564885,8.473452835331306e-30,1.0766801842093337e+33,0.001017372716790903,4.59597128873845e-05
PDIMA,0.003816793893129771,8.473452835331306e-30,0.0006496422302439365,0.00018646256431982452,0.0006501560480874968
HIPB,0.14198473282442747,8.549790248262208e-30,0.0,0.0009355524595503642,0.0
HEXTT,0.0053435114503816794,8.473452835331306e-30,0.00016871105229591528,0.0001912103189230372,2.2918126243303314e-05
INHA18,0.14274809160305343,8.473452835331306e-30,4.383327562737623e+88,0.0007429065967428258,8.934094424734325e-05
HIPA,0.14198473282442747,8.706667133551395e-30,7.718636988198849e-12,0.0009107583954128279,1.3094475589988844e-06
INHA16,0.14198473282442747,8.473452835331306e-30,4.383327562737623e+88,0.0007429065971740058,8.649777926962563e-05
INHA17,0.14274809160305343,8.473452835331306e-30,4.383327562737623e+88,0.0007429065971740058,8.930873064834712e-05
FADE323,0.13740458015267176,8.473452835331306e-30,3.978295157961917e+66,0.0008137197171959827,2.3285463318672434e-05
INHA15,0.14198473282442747,8.473452835331306e-30,4.383327562737623e+88,0.0007429065971740058,8.649777926962563e-05
FAMPL5,0.13740458015267176,8.473452835331306e-30,5.04676854920883e+78,0.0007507791700575754,2.330853689507402e-05
MOBDabc_rev,0.1435114503816794,8.473452835331306e-30,7.601497961063595e+66,0.0007000067668256132,0.0006741747333506238
MOBDabc,0.1435114503816794,8.473452835331306e-30,1.520299592212719e+67,0.0007000067668256134,0.000672649401989854
INHA11,0.14198473282442747,8.473452835331306e-30,4.383327562737623e+88,0.0007429065971740058,8.649777926962563e-05
BKDC2,0.150381679389313,8.473452835331306e-30,3.844596764389866e+85,0.0013294048727977203,1.6395090850899664e-05
MCITD,0.2083969465648855,8.473452835331306e-30,0.0010491372121871976,0.00014559907564270846,0.0012510824507619342
BKDC1,0.09236641221374045,8.473452835331306e-30,7.689193528779659e+85,0.0009658051477417495,1.6532391039856417e-05
CBPS,0.16946564885496182,8.473452835331306e-30,3.1759314473763164e+82,0.0027342270314623263,0.0001762189146199366
HSERTA,0.08549618320610687,8.473452835331306e-30,1.9353207580023956e+48,0.0007220426790426633,9.289506507000441e-05
SEPHCHCS,0.019083969465648856,8.473452835331306e-30,2.855184955260279e+34,0.0005614368137159096,0.002026034282813334
FCOAH2,0.17251908396946564,8.549790248262208e-30,0.0,0.00045960684036737073,0.0
