Rv0987	GO:0005886;GO:0016021
Rv0988	GO:0015995;GO:0055114;GO:0016491;GO:0016117
Rv1023	GO:0005576;GO:0006096;GO:0000287;GO:0004634;GO:0000015;GO:0009986
Rv0994	GO:0046872;GO:0016740;GO:0006777
Rv0995	GO:0008999;GO:0005840;GO:0008152
Rv1001	GO:0016990;GO:0005737;GO:0006527
Rv1002c	GO:0000030;GO:0005886;GO:0006493;GO:0016021
Rv1003	GO:0008168;GO:0008152
Rv1009	GO:0016787;GO:0005576
Rv1008	GO:0016888
Rv1010	GO:0005737;GO:0000179;GO:0000154;GO:0003723
Rv1011	GO:0005524;GO:0016310;GO:0016114;GO:0050515
Rv1014c	GO:0005737;GO:0006412;GO:0004045
Rv1015c	GO:0005840;GO:0003735;GO:0006412;GO:0008097
Rv1017c	GO:0005737;GO:0016301;GO:0000287;GO:0009116;GO:0009156;GO:0004749;GO:0005524
Rv1018c	GO:0000902;GO:0007047;GO:0005737;GO:0019134;GO:0009103;GO:0000287;GO:0009252;GO:0008360;GO:0003977
Rv1019	GO:0006350;GO:0003700;GO:0006355
Rv1050	GO:0055114;GO:0016491
Rv1027c	GO:0006355;GO:0006350;GO:0000156;GO:0000160;GO:0003677
Rv1028c	GO:0016021;GO:0018106;GO:0005886;GO:0006950;GO:0007165;GO:0000155;GO:0000160;GO:0005524
Rv1031	GO:0016021;GO:0005886;GO:0006813;GO:0008556;GO:0005524
Rv1049	GO:0006355;GO:0006350;GO:0003700;GO:0005622
Rv1051c	GO:0000166
Rv1065	GO:0017172;GO:0005506;GO:0055114;GO:0046439
Rv1032c	GO:0016021;GO:0018106;GO:0007165;GO:0000155;GO:0000160;GO:0005524
Rv1041c	GO:0004803;GO:0006313;GO:0003677
Rv1043c	GO:0004252;GO:0006508
Rv1047	GO:0004803;GO:0006313;GO:0003677
Rv1058	GO:0008152;GO:0016874
Rv1059	GO:0008839;GO:0009089;GO:0055114
Rv1104	GO:0016787
Rv1064c	GO:0005886
Rv1070c	GO:0006631;GO:0004300
Rv1072	GO:0016021
Rv1075c	GO:0006629;GO:0016788
Rv1076	GO:0008152;GO:0016787
Rv1101c	GO:0005886;GO:0016021
Rv1080c	GO:0006355;GO:0006350;GO:0003711;GO:0003677
Rv1092c	GO:0015937;GO:0005737;GO:0004594;GO:0005524
Rv1084	GO:0003824
Rv1085c	GO:0016021;GO:0005886;GO:0019835
Rv1093	GO:0005737;GO:0004372;GO:0006544;GO:0006730;GO:0030170;GO:0006563
Rv1105	GO:0016787
Rv1087A	GO:0016765
Rv1089A	GO:0008152;GO:0008810
Rv1090	GO:0000272;GO:0008810
Rv1102c	GO:0003677
Rv1095	GO:0005524
Rv1096	GO:0016810;GO:0005975
Rv1129c	GO:0043565
Rv1099c	GO:0006071
Rv1107c	GO:0005737;GO:0008855;GO:0009318;GO:0006308
Rv1108c	GO:0005737;GO:0008855;GO:0009318;GO:0006308
Rv1112	GO:0005622;GO:0005525
Rv1121	GO:0006006;GO:0004345;GO:0055114
Rv1122	GO:0055114;GO:0006098;GO:0004616;GO:0050661
Rv1123c	GO:0004601;GO:0055114
Rv1130	GO:0019543;GO:0047547
Rv1135A	GO:0008152;GO:0003985
Rv1139c	GO:0016021;GO:0004671;GO:0006481
Rv1140	GO:0016020
Rv1141c	GO:0016853;GO:0008152;GO:0004300
Rv1143	GO:0008152;GO:0008111
Rv1144	GO:0055114;GO:0016491
Rv1145	GO:0016021
Rv1151c	GO:0006342;GO:0005737;GO:0016811;GO:0006476;GO:0008270;GO:0070403
Rv1152	GO:0006355;GO:0006350;GO:0003700;GO:0005622
Rv1190	GO:0016787
Rv1147	GO:0008168;GO:0008152
Rv1155	GO:0010181
Rv1157c	GO:0005199
Rv1510	GO:0005886;GO:0016021
Rv1159A	GO:0006729;GO:0008124
Rv1160	GO:0006260;GO:0016787;GO:0046872;GO:0006281
Rv1161	GO:0009055;GO:0022900;GO:0030151;GO:0042128;GO:0008940;GO:0009325;GO:0005886;GO:0006810;GO:0051539
Rv1163	GO:0009325;GO:0055114;GO:0008940
Rv1166	GO:0008654;GO:0006810;GO:0005215;GO:0009405
Rv1167c	GO:0006350;GO:0003700;GO:0006355
Rv1215c	GO:0008152;GO:0008239
Rv1175c	GO:0050660;GO:0010181;GO:0055114;GO:0008670
Rv1177	GO:0009055;GO:0046872;GO:0055114;GO:0016491;GO:0051539
Rv1180	GO:0009058;GO:0008415
Rv1181	GO:0008415;GO:0009058;GO:0048037;GO:0055114;GO:0016491;GO:0008270;GO:0000036
Rv1189	GO:0016987;GO:0003700;GO:0006352;GO:0006355
Rv1185c	GO:0016874;GO:0006631
Rv1204c	GO:0017111;GO:0005524
Rv1216c	GO:0016021;GO:0004671;GO:0006481
Rv1188	GO:0055114;GO:0006562;GO:0004657;GO:0006537
Rv1200	GO:0016021;GO:0055085;GO:0005215;GO:0008643
Rv1201c	GO:0008666
